T,X,Y
0,17.848150387835894,17
0,21.771102769840688,23
0,30.7792902022435,30
1,23.051648823132634,22
0,17.209714888864685,17
0,15.743317562247594,17
0,26.09117724989029,31
0,13.777875635169972,15
1,24.185168888431864,22
1,28.131565373322857,29
1,19.520371587967997,19
0,24.16222181336796,34
1,20.38316690388061,16
1,27.152016748070274,30
0,21.41796733805702,16
1,16.524730441942914,21
0,21.846705327923527,19
0,20.790929787364842,21
0,16.95706844643889,14
0,18.859737462054913,24
1,13.991991647010408,22
1,15.829714147367088,20
0,23.27887332500724,28
0,10.770340160377646,13
0,21.44250560616178,7
0,20.112266276018673,15
1,17.085801553689343,20
1,27.112913399395204,26
0,23.52147979168658,17
0,17.064824743812242,7
0,21.068186333285745,18
1,24.652796487404288,34
1,12.142318946417916,9
1,21.130943313596912,28
1,18.806225679373682,16
1,22.029790192450903,27
1,30.639450244328685,34
0,16.775124308778075,12
0,18.331706444722975,15
1,14.021531895233721,12
0,21.14390789735539,24
0,23.163738177951846,16
0,7.680728530772946,8
0,27.432531689393283,24
0,28.07171708461033,37
0,6.625217631249409,1
1,12.439107011900427,15
1,22.434503002707917,25
1,20.534792830319994,29
1,25.974780279595084,32
1,18.662900908482033,12
0,26.594239333728623,35
0,13.24049945962979,12
0,22.201689504968883,25
1,17.952207637857533,7
0,17.775108971780767,25
0,11.241324142576302,12
1,18.10049016720842,20
0,27.06029362056732,25
1,16.89922363551433,24
1,19.002929125151816,6
1,20.836491541668583,21
0,15.309903777187113,11
0,21.51765799495986,21
1,23.00737697748212,31
1,18.99212529171384,15
1,10.852083081357183,11
1,27.90069943838691,23
1,20.4680724117999,25
1,20.108980406279812,21
0,19.157211490032346,25
1,17.248410647167958,27
1,11.859245716846903,2
0,19.98103787539014,10
1,20.982099787936885,19
0,25.196728829003828,26
0,28.450517281399392,24
0,16.57925608016025,20
0,28.329921025070185,28
1,20.677949772709542,15
0,23.188475250729823,23
1,15.131458616104233,11
1,21.98837000060671,17
0,15.522739724976079,15
0,23.643286531349997,22
0,13.964703444230345,18
1,20.45878853154988,14
1,18.150981189184805,11
1,22.053627165800847,26
1,21.54293092507651,21
1,21.081606600567156,21
1,17.749093365423136,18
0,24.637990431267994,17
1,23.171226459731002,18
0,16.376378321856915,18
0,24.069896871658774,25
0,17.08010376261418,16
1,20.768043762775406,26
1,19.845926144636568,29
1,19.871411831354127,20
0,24.345617939929177,28
0,11.289621000186905,17
1,26.76142000390032,28
0,11.466717918715009,11
0,26.625489300129203,21
0,23.232855484286333,29
0,12.924671880891843,15
0,22.221078167316005,23
0,18.84266990351043,16
1,14.497964684499909,21
1,26.552562117083774,20
1,26.109519070056674,31
0,22.412226344444854,28
1,28.96945204637175,30
1,21.279862761015732,17
1,19.144943369776865,15
1,27.17301577836935,33
1,16.82523402869364,17
0,24.59841517493517,29
0,26.202477613815674,23
1,21.712280251801335,17
1,21.137568842033268,36
1,23.056345362015932,20
0,21.85756125918521,26
0,17.107957223817795,23
1,2.5636187470535354,4
0,18.040708878049863,20
1,13.232626076277622,17
1,25.56647401602189,36
1,18.334382038441497,20
1,21.850227229178092,27
0,24.448234862043606,34
1,25.82963951328271,23
0,15.951722955940884,11
1,31.580111982260185,34
0,25.307365120737284,26
1,23.91236097815122,31
0,16.049174089777964,22
0,30.872812292085506,32
1,24.001595984453743,30
1,26.327393246626116,28
1,19.15709468268185,35
1,30.293053621407417,39
0,28.136451009721316,29
1,20.151208559339135,36
1,30.76576739801368,34
1,15.302516075456191,23
0,25.065966517179838,23
0,23.917358243099507,20
1,24.11668016298891,36
1,17.025624639558345,18
1,18.724110898377457,17
0,25.402689857123146,23
0,25.90906794237288,32
1,20.208387077653473,21
1,19.129546856655505,17
1,17.800275971965007,7
0,27.170652768285617,25
0,19.616712708340952,22
1,17.574884641499107,17
0,10.684418513212808,9
1,11.243141506718256,24
1,14.53975499013097,20
0,9.877324470369368,9
0,18.077401340029763,22
1,18.57694979681604,16
1,15.01834602238419,20
0,17.913309549713347,27
0,19.576644457426937,20
1,11.085546990683346,20
0,23.601664380546573,23
0,6.0291369135145505,1
1,29.88450790231109,31
0,12.527496868225274,13
1,20.141139454943875,27
1,18.166879074735572,21
0,21.889975506097077,20
0,16.16149050195643,15
0,22.70341831791673,24
1,12.026468113371944,17
0,23.831904143537134,20
1,18.53469602002316,17
1,21.885030094132787,23
1,25.154879303931498,22
1,13.940117806596897,21
0,16.96574688476402,18
0,16.15822917943442,11
1,19.472048816426042,17
0,20.807732887046125,27
1,23.640842224860762,23
0,21.07049964450457,17
0,19.170699511103184,23
1,22.727627465644638,30
0,25.189936948540755,18
1,24.877604238552326,28
1,30.598872761248632,41
0,16.791152072155004,28
0,21.161458794104554,27
0,13.191921257149929,17
0,16.497004081929,11
0,23.125897810831336,28
1,26.356593672472687,26
1,17.498967223433727,18
1,22.36574338490735,28
1,20.407112872966504,18
1,22.58321465198354,22
1,21.117441076356986,32
1,17.601177436918164,23
1,8.656128248140003,2
0,12.431236726535843,9
0,21.951257596874505,17
0,19.57093153118258,22
1,30.531377393504712,27
0,20.251578508013317,20
1,24.633595712034833,26
1,14.04767624680865,18
1,12.968665437613463,15
0,21.031376148661316,23
1,28.45846776413939,30
0,22.064569544403906,18
1,18.41641483731559,24
0,22.065018421536756,23
0,23.136368023689567,20
0,22.289317798734665,16
0,20.13849941346202,21
0,14.69436228556449,20
0,14.27041938637744,16
1,17.419338422915057,13
0,19.35954761844132,18
0,13.390277796711132,9
0,28.054102882837753,27
0,23.02551634823193,27
0,17.358021501844924,18
0,23.86658907102297,24
0,32.271103721813084,30
1,21.25510032887269,20
1,21.15097183634478,23
1,25.208416347013756,17
1,13.196551018115814,12
0,17.182772252748986,7
1,16.165010335998854,22
0,23.898744646002,19
1,11.561205896914641,17
1,21.657551722621992,15
0,17.602655905000375,26
0,18.596977135640348,22
0,17.225632610802826,18
1,27.418188166697917,27
0,15.695740292205667,14
0,14.025340155787003,13
0,21.580193454359748,26
0,17.11418964727008,20
1,22.586984512288684,28
1,19.726100029454248,19
0,20.19744298536471,19
1,20.287545484502953,13
1,11.502113064703982,3
1,9.86265466558734,12
0,30.10836410599969,27
0,14.102510523057742,15
1,22.605014880164045,23
0,14.351487567681543,13
0,19.5385872238155,19
0,18.65486163040337,9
1,27.272228552863908,27
0,18.95019630852199,20
0,12.266682130477331,12
